Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.291705,-1.180848,-1.29538,-1.263366,-1.351042,-1.345281,-1.443609,-1.43289,-1.587331,-1.638287,-1.534796,-1.636177,-1.579174,-1.419741,-1.43651,-1.354829,-1.342216,-1.526172,-1.515626,-1.487624,-1.400733,-1.475405
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,2,2,3,5,5,7,6,7,8,9,9,10,11,11,11,10,10,10,10,9
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.301075,9.793815,5.076142,5.050505,5.050505,5.853659,2.439024,3.902439,0.9708738,0.4854369,0.9569378,0.952381,0.9478673,2.369668,1.895735,5.288462,6.25,3.365385,3.846154,4.807693,6.730769,5.288462
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4807692,1.442308,0,0,0,1.923077,0
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,27.41936,31.4433,29.44162,31.81818,18.18182,14.14634,13.17073,12.19512,7.281553,4.854369,7.655502,3.809524,5.687204,11.84834,9.952606,12.5,12.5,9.615385,9.615385,10.09615,11.53846,11.05769
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.340507,0.3301791,0.3562942,0.3599147,0.2753387,0.2143146,0.207736,0.2063379,0.2291194,0.219334,0.2016608,0.1956098,0.1945277,0.186771,0.1606633,0.1612047,0.1622649,0.1657633,0.162968,0.157467,0.1571024,0.1588794
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-2.175167,-2.135942,-2.231651,-1.567973,-1.082488,-0.8940507,-1.210829,-1.430343,-1.403352,-1.496089,-1.483899,-1.454611,-1.448444,-1.360196,-1.385382,-1.332015,-1.323176,-1.226401,-1.325545,-1.453096,-1.463065,-1.523115
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,1,1,1,2,2,4,4,6,5,6,7,7,7,8,8,8,8,8,8,8,8,7
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,0,0,0,2.040816,11.73469,17.24138,9.803922,5.365854,5.339806,4.368932,3.827751,4.784689,4.739336,6.635071,7.582938,8.173077,8.173077,9.615385,9.134615,8.173077,7.211538,5.288462
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,0,0,0,0,1.530612,6.896552,1.960784,0,0.4854369,0.4854369,0,0.4784689,0.9478673,0.4739336,0.4739336,1.442308,1.442308,4.326923,3.846154,1.923077,1.923077,1.923077
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,1.639344,2.590674,2.564103,9.183674,32.14286,37.43842,22.54902,15.12195,17.47573,13.59223,11.96172,13.39713,14.21801,16.58768,14.69194,16.34615,17.30769,18.75,16.34615,12.98077,13.46154,12.5
