country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2016,PF,4,5,6,8,5,19,8,6,4,5,23,42
Afghanistan,Asia,2016,NF,6,6,2,6,2,10,6,4,2,2,14,24
Albania,Europe,2016,PF,3,3,8,13,6,27,13,9,9,9,40,67
Algeria,MENA,2016,NF,6,5,4,4,3,11,7,5,5,7,24,35
Andorra,Europe,2016,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2016,NF,6,6,3,6,1,10,5,3,3,3,14,24
Antigua and Barbuda,Americas,2016,F,2,2,12,13,8,33,14,9,13,13,49,82
Argentina,Americas,2016,F,2,2,11,14,6,31,14,11,10,13,48,79
Armenia,Eurasia,2016,PF,5,4,5,7,4,16,9,6,6,9,30,46
Australia,Asia,2016,F,1,1,12,16,12,40,16,12,15,15,58,98
Austria,Europe,2016,F,1,1,12,15,10,37,16,12,15,15,58,95
Azerbaijan,Eurasia,2016,NF,7,6,1,3,1,5,3,1,2,5,11,16
Bahamas,Americas,2016,F,1,1,12,16,10,38,16,12,13,13,54,92
Bahrain,MENA,2016,NF,7,6,2,2,3,4,2,1,1,6,10,14
Bangladesh,Asia,2016,PF,4,4,7,9,5,21,7,6,6,9,28,49
Barbados,Americas,2016,F,1,1,12,16,12,40,16,12,15,15,58,98
Belarus,Eurasia,2016,NF,7,6,0,3,1,4,3,1,2,7,13,17
Belgium,Europe,2016,F,1,1,12,16,12,40,15,12,14,15,56,96
Belize,Americas,2016,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2016,F,2,2,9,16,8,33,15,12,12,10,49,82
Bhutan,Asia,2016,PF,3,4,10,10,10,29,9,4,6,8,27,56
Bolivia,Americas,2016,PF,3,3,11,11,7,29,14,9,6,10,39,68
Bosnia and Herzegovina,Europe,2016,PF,4,3,8,10,4,22,10,7,8,10,35,57
Botswana,SSA,2016,F,3,2,10,10,8,28,12,10,12,11,45,73
Brazil,Americas,2016,F,2,2,11,14,8,33,15,10,10,13,48,81
Brunei,Asia,2016,NF,6,5,0,3,3,7,6,3,6,7,22,29
Bulgaria,Europe,2016,F,2,2,11,14,8,33,14,11,10,12,47,80
Burkina Faso,SSA,2016,PF,4,3,6,9,6,21,14,8,8,8,38,59
Burundi,SSA,2016,NF,7,6,1,4,0,5,6,2,1,5,14,19
Cambodia,Asia,2016,NF,6,5,4,4,3,11,9,3,3,6,21,32
Cameroon,SSA,2016,NF,6,6,3,3,3,9,7,3,1,4,15,24
Canada,Americas,2016,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2016,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2016,NF,7,7,1,1,0,1,4,1,0,1,6,7
Chad,SSA,2016,NF,7,6,2,1,1,4,7,5,1,3,16,20
Chile,Americas,2016,F,1,1,12,15,11,38,16,12,14,15,57,95
China,Asia,2016,NF,7,6,0,1,2,1,4,3,2,6,15,16
Colombia,Americas,2016,PF,3,4,10,11,8,29,12,5,7,10,34,63
Comoros,SSA,2016,PF,3,4,9,11,4,24,10,7,8,6,31,55
Congo (Brazzaville),SSA,2016,NF,6,5,1,2,3,6,7,6,2,7,22,28
Congo (Kinshasa),SSA,2016,NF,6,6,3,4,2,9,8,3,0,5,16,25
Costa Rica,Americas,2016,F,1,1,12,15,10,37,16,11,13,13,53,90
Cote d'Ivoire,SSA,2016,PF,4,4,7,8,5,20,11,7,6,7,31,51
Crimea,Eurasia,2016,NF,7,6,0,0,0,-1,3,1,0,6,10,9
Croatia,Europe,2016,F,1,2,12,15,10,37,14,12,11,13,50,87
Cuba,Americas,2016,NF,7,6,0,0,1,1,5,0,3,6,14,15
Cyprus,Europe,2016,F,1,1,11,16,11,38,15,12,15,14,56,94
Czech Republic,Europe,2016,F,1,1,12,15,11,38,16,12,14,15,57,95
Denmark,Europe,2016,F,1,1,12,16,12,40,16,12,15,15,58,98
